"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q10309889,José Manuel Pureza,1958,male,Coimbra,POINT(-8.428889 40.211111),http://www.wikidata.org/entity/Q45412
http://www.wikidata.org/entity/Q10310170,José Moura Soeiro,1984,male,Porto,POINT(-8.610833 41.150000),http://www.wikidata.org/entity/Q36433
http://www.wikidata.org/entity/Q10310858,José de Souza Martins,1938,male,São Caetano do Sul,POINT(-46.571235 -23.613196),http://www.wikidata.org/entity/Q967648
http://www.wikidata.org/entity/Q10312074,Joao Peste,1962,male,Lisbon,POINT(-9.139016 38.708042),http://www.wikidata.org/entity/Q597
http://www.wikidata.org/entity/Q10312195,João Santana,1953,male,Tucano,POINT(-38.786944 -10.962778),http://www.wikidata.org/entity/Q22062855
http://www.wikidata.org/entity/Q10312682,Juca Ferreira,1949,male,Salvador,POINT(-38.492778 -12.983056),http://www.wikidata.org/entity/Q36947
http://www.wikidata.org/entity/Q10313832,Karin Wall,1955,female,Porto,POINT(-8.610833 41.150000),http://www.wikidata.org/entity/Q36433
http://www.wikidata.org/entity/Q10314734,Krystyna Iglicka,1964,female,Warsaw,POINT(21.011111 52.230000),http://www.wikidata.org/entity/Q270
http://www.wikidata.org/entity/Q10316621,Lauro de Vasconcellos,1934,male,Pitangui,POINT(-44.890000 -19.682778),http://www.wikidata.org/entity/Q749248
http://www.wikidata.org/entity/Q1031841,Constantin Pecqueur,1801,male,Arleux,POINT(3.106389 50.280278),http://www.wikidata.org/entity/Q61573
http://www.wikidata.org/entity/Q10320558,Luis Morote,1862,male,Valencia,POINT(-0.376389 39.470000),http://www.wikidata.org/entity/Q8818
http://www.wikidata.org/entity/Q10320674,Luiz Carlos Trabuco Cappi,1951,male,Marília,POINT(-49.945833 -22.213889),http://www.wikidata.org/entity/Q737660
http://www.wikidata.org/entity/Q10320899,Luiza Helena de Bairros,1953,female,Porto Alegre,POINT(-51.230000 -30.032778),http://www.wikidata.org/entity/Q40269
http://www.wikidata.org/entity/Q10324025,Manuel Braga da Cruz,1946,male,Braga,POINT(-8.416667 41.533333),http://www.wikidata.org/entity/Q83247
http://www.wikidata.org/entity/Q10325269,Marco Antonio Villa,1955,male,São José do Rio Preto,POINT(-49.378889 -20.820000),http://www.wikidata.org/entity/Q192181
http://www.wikidata.org/entity/Q10325390,Marcos Almir Madeira,1916,male,Niterói,POINT(-43.103611 -22.883333),http://www.wikidata.org/entity/Q178725
http://www.wikidata.org/entity/Q10325855,Maria Filomena Mónica,1943,female,Lisbon,POINT(-9.139016 38.708042),http://www.wikidata.org/entity/Q597
