"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q102741456,Elisa Maria da Conceição Pereira,1946,female
http://www.wikidata.org/entity/Q10278387,Eva Alterman Blay,1937,female
http://www.wikidata.org/entity/Q102812,Dankwart Rustow,1924,male
http://www.wikidata.org/entity/Q10283043,Flávia Schilling,1953,female
http://www.wikidata.org/entity/Q10285385,Francisco de Oliveira,1933,male
http://www.wikidata.org/entity/Q102859199,Maria Charles,1960,female
http://www.wikidata.org/entity/Q102860680,Karen Bradley,1955,female
http://www.wikidata.org/entity/Q102867418,Tymofii Brik,1987,male
http://www.wikidata.org/entity/Q102867576,Parker Frisbie,1940,male
http://www.wikidata.org/entity/Q102867711,Barbara A. Anderson,1948,female
http://www.wikidata.org/entity/Q10287853,Gabriel Cohn,1938,male
http://www.wikidata.org/entity/Q10288670,Jenaro Abásolo,1833,male
http://www.wikidata.org/entity/Q10290043,Glauco Arbix,1952,male
http://www.wikidata.org/entity/Q10294685,Henri Favre,1937,male
http://www.wikidata.org/entity/Q10294993,Herbert Kelman,1927,male
http://www.wikidata.org/entity/Q1029622,Regula Rytz,1962,female
http://www.wikidata.org/entity/Q10296967,Kian Tajbakhsh,1962,male
http://www.wikidata.org/entity/Q10299608,Ian Currie,1936,male
http://www.wikidata.org/entity/Q103030334,Geoffrey Ronald Hill McNicoll,1941,male
http://www.wikidata.org/entity/Q103034281,Ann L Greer,1944,female
http://www.wikidata.org/entity/Q10303757,Isa Grinspum Ferraz,1958,female
http://www.wikidata.org/entity/Q1030404,David P. Farrington,1944,male
http://www.wikidata.org/entity/Q10304595,J. Manuel Nazareth,1942,male
http://www.wikidata.org/entity/Q10306541,Jean Finot,1858,male
http://www.wikidata.org/entity/Q10306556,Jean Marcel Carvalho França,1966,male
http://www.wikidata.org/entity/Q10308077,Jorge Caldeira,1955,male
http://www.wikidata.org/entity/Q10308228,Jorge Riechmann,1962,male
http://www.wikidata.org/entity/Q10308266,Fang Nianxuan,1964,female
http://www.wikidata.org/entity/Q10309889,José Manuel Pureza,1958,male
http://www.wikidata.org/entity/Q10310170,José Moura Soeiro,1984,male
http://www.wikidata.org/entity/Q103106570,Karyn Lacy,1965,female
http://www.wikidata.org/entity/Q10310858,José de Souza Martins,1938,male
http://www.wikidata.org/entity/Q10312074,Joao Peste,1962,male
http://www.wikidata.org/entity/Q10312195,João Santana,1953,male
http://www.wikidata.org/entity/Q10312656,Juarez Rubens Brandão Lopes,1925,male
http://www.wikidata.org/entity/Q10312682,Juca Ferreira,1949,male
http://www.wikidata.org/entity/Q10313832,Karin Wall,1955,female
http://www.wikidata.org/entity/Q10314734,Krystyna Iglicka,1964,female
http://www.wikidata.org/entity/Q103157904,Vincent Antonin Lepinay,1973,male
http://www.wikidata.org/entity/Q103158081,Paolo Parigi,1973,male
http://www.wikidata.org/entity/Q10316621,Lauro de Vasconcellos,1934,male
http://www.wikidata.org/entity/Q1031841,Constantin Pecqueur,1801,male
http://www.wikidata.org/entity/Q10320312,Luciano Martins,1934,male
http://www.wikidata.org/entity/Q10320558,Luis Morote,1862,male
http://www.wikidata.org/entity/Q10320674,Luiz Carlos Trabuco Cappi,1951,male
http://www.wikidata.org/entity/Q10320899,Luiza Helena de Bairros,1953,female
http://www.wikidata.org/entity/Q103218062,Jolene D. Smyth,1978,female
http://www.wikidata.org/entity/Q103224929,Glenn R. Carroll,1953,male
http://www.wikidata.org/entity/Q10324025,Manuel Braga da Cruz,1946,male
http://www.wikidata.org/entity/Q10325269,Marco Antonio Villa,1955,male
http://www.wikidata.org/entity/Q10325390,Marcos Almir Madeira,1916,male
http://www.wikidata.org/entity/Q10325855,Maria Filomena Mónica,1943,female
http://www.wikidata.org/entity/Q10325884,Maria Helena Guimarães de Castro,1946,female
http://www.wikidata.org/entity/Q10325955,Maria João Valente Rosa,1961,female
http://www.wikidata.org/entity/Q10326178,Maria do Carmo Brito,1943,female
http://www.wikidata.org/entity/Q10327679,Maurício Tragtenberg,1929,male
http://www.wikidata.org/entity/Q103277833,Ronald R. Rindfuss,1946,male
http://www.wikidata.org/entity/Q1032787,András Hajós,1969,male
http://www.wikidata.org/entity/Q103278834,Heinz Renn,1940,male
http://www.wikidata.org/entity/Q1032918,Candace Gingrich,1966,genderqueer
http://www.wikidata.org/entity/Q1032992,Candido Mendes,1928,male
http://www.wikidata.org/entity/Q103311,Frigga Haug,1937,female
http://www.wikidata.org/entity/Q103322724,Tamás Szecskő,1933,male
http://www.wikidata.org/entity/Q103324640,Linda Waite,1947,female
http://www.wikidata.org/entity/Q1033265,József Halász,1874,male
http://www.wikidata.org/entity/Q10333245,Muniz Sodré,1942,male
http://www.wikidata.org/entity/Q10334265,Márcia Mafra,1947,female
