person_uri,year,gender_label,gender_uri
http://www.wikidata.org/entity/Q101561244,1975,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101620138,1947,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101624416,1931,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1016356,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1016499,1956,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101657491,1976,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101691603,1970,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101842,1940,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101850967,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101856469,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101988,1939,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102017,1891,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102020306,1917,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102029577,1947,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102032653,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102077647,1963,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102077797,1937,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102086,1942,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102104647,1969,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102106,1973,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102109299,1957,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102121497,1973,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102130613,1919,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102157353,1941,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102181,1961,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102188715,1839,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102200516,1951,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102202622,1970,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102209447,1945,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102216,1951,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102221913,1928,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102237643,1964,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102238481,1937,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102238494,1940,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1022431,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102243305,1939,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102246720,1964,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102261070,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102267568,1946,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102277,1933,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102317676,1975,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102326141,1972,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102341342,1954,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102352343,1970,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102355281,1970,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102367218,1982,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102380797,1953,,
http://www.wikidata.org/entity/Q102410701,1930,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102434,1885,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102440440,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102476,1976,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102495,1885,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102500016,1974,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102626373,1891,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10263971,1943,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10267663,1907,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10268271,1900,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10270660,1935,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102738459,1981,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102741456,1946,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10278387,1937,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102812,1924,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10283043,1953,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10285385,1933,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102859199,1960,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102860680,1955,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102867418,1987,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102867576,1940,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102867711,1948,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10287853,1938,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10288670,1833,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10290043,1952,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10294685,1937,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10294993,1927,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1029622,1962,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10296967,1962,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10299608,1936,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103030334,1941,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103034281,1944,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10303757,1958,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1030404,1944,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10304595,1942,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10306541,1858,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10306556,1966,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10308077,1955,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10308228,1962,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10308266,1964,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10309889,1958,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10310170,1984,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103106570,1965,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10310858,1938,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10312074,1962,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10312195,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10312656,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10312682,1949,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10313832,1955,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10314734,1964,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103157904,1973,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103158081,1973,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10316621,1934,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1031841,1801,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320312,1934,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320558,1862,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320558,1864,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320674,1951,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320899,1953,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103218062,1978,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103224929,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10324025,1946,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10325269,1955,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10325390,1916,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10325855,1943,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10325884,1946,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10325955,1961,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10326178,1943,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10327679,1929,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103277833,1946,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1032787,1969,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103278834,1940,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1032918,1966,genderqueer,http://www.wikidata.org/entity/Q12964198
http://www.wikidata.org/entity/Q1032992,1928,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103311,1937,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103316680,1927,,
http://www.wikidata.org/entity/Q103322724,1933,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103324640,1947,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1033265,1874,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10333245,1942,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10334265,1947,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10334502,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103347361,1959,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10336359,1928,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10336952,1862,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103381,1923,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10340144,1926,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10340715,1883,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10341230,1917,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103445,1937,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10346501,1967,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10346835,1933,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10346891,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10347589,1874,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10358643,1946,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10361071,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10361287,1956,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1036496,1928,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10365438,1972,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103658,1957,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10367523,1935,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103680,1950,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1036829,1886,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10370239,1945,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1037213,1845,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1037247,1954,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1037368,1884,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10374688,1950,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103747299,1983,,
http://www.wikidata.org/entity/Q10376097,1961,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103769532,1981,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103810213,1952,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103820262,1984,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103822077,1907,,
http://www.wikidata.org/entity/Q103843026,1887,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103847114,1980,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103848873,1972,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10385450,1957,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10389184,1944,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10390357,1963,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103916589,1964,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10391661,1926,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10391749,1910,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103921809,1968,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10393022,1937,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10396371,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1039705,1902,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1039736,1887,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104012554,1891,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104012899,1975,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104013,1965,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104042501,1944,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104052848,1947,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104053997,1962,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104056585,1950,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104088186,1973,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1040900,1866,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104147114,1970,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104153212,1985,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104161626,1974,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104184443,1924,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104193124,1853,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104198645,1920,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104214888,1948,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104215021,1947,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104215560,1894,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104233321,1952,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104243467,1967,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104272,1912,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104273313,1978,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104376874,1978,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104376893,1973,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104382702,1950,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1044177,1942,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1044238,1954,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1044263,1925,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104437883,1978,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104440720,1979,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104445079,1957,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104455300,1981,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104471250,1931,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104479622,1925,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104485,1962,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104493814,1980,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104502262,1839,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104514121,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104523765,1968,male,http://www.wikidata.org/entity/Q6581097
